label,family,lag,observed,null_mean,null_q025,null_q975,z_score
voynich,voynich,37,-2.9244426142702173e-05,-5.7517379947576167e-05,-0.0019220947232483215,0.0017917254799336146,0.02965356498037064
voynich,voynich,38,0.0005827752821066234,1.551240038722531e-05,-0.0017773258308547563,0.0017688159429349176,0.6192073810313761
voynich,voynich,39,-0.0007100663485751918,-6.201914598744145e-05,-0.0019919640363671998,0.001853729027008852,-0.6623097015966535
voynich,voynich,40,-0.00021784508984012962,6.95670032722865e-05,-0.0020987829230476873,0.0019865661286961184,-0.28055948898086414
voynich,voynich,41,0.000514000748883886,3.2438952746449703e-05,-0.0017982626334901858,0.0018917742668787957,0.4895011345151014
voynich,voynich,42,-0.0002517337292636951,-6.996288119294689e-06,-0.001929043324672669,0.002012634224538415,-0.2417210368058233
voynich,voynich,43,-0.0016404947268198605,1.3714222707816164e-06,-0.0016404947268198744,0.0020376496673046723,-1.7542234294758252
voynich,voynich,44,0.0009723883477261025,3.412081043502317e-05,-0.0016035416828256432,0.0018589875210322654,1.0351505833848835
voynich,voynich,45,-0.0010753580015975123,-3.562829777310705e-05,-0.0018062120224927453,0.0017761708012396515,-1.119441412143349
voynich,voynich,46,-0.00040338537955295073,2.9231468631268284e-05,-0.0017692600785213647,0.0019569419511205333,-0.452895577410578
voynich,voynich,47,0.0011911788883333524,-5.6334950299803536e-05,-0.0019479742592068555,0.0017183649131110729,1.3247146624109503
voynich,voynich,48,-0.0006769137838057993,1.389713732639214e-07,-0.0018990414841688619,0.0017793232610414933,-0.726398872613362
voynich,voynich,49,0.00046237748623879915,-9.843008625101666e-05,-0.001814162173478448,0.0015527201653665057,0.6305121479439648
voynich,voynich,50,0.00033161134584881735,-6.235455357485313e-05,-0.0018730640037240426,0.0016376418518457697,0.41785874750364416
voynich,voynich,51,-0.0008655625868712047,-4.422131341629866e-05,-0.0020877342181108843,0.0019741891445385906,-0.8307406307181804
voynich,voynich,52,0.0004654828706592423,-2.7795104825134935e-05,-0.0018590674965957565,0.0018314557668812487,0.5011619670858194
voynich,voynich,53,0.0014490717293941108,-6.82847219095701e-05,-0.0019659014301150884,0.0015928600729523817,1.5724691587524169
voynich,voynich,54,-0.0016293852188602048,-8.097589647089898e-05,-0.0017611927798211885,0.0016777863107066138,-1.6994625374245904
voynich,voynich,55,-0.00039416225858883436,-3.4562958375544335e-05,-0.0018560454517251579,0.0019065063732322807,-0.37867118612323375
voynich,voynich,56,-0.0019509003968289501,2.9239114643389226e-06,-0.0019029692259902725,0.0017517825504587414,-2.064504238214448
voynich,voynich,57,-0.0007995322401483512,6.821209192277785e-05,-0.0015904060358632593,0.002016457790048637,-0.9204044652317659
voynich,voynich,58,-0.0011220553162113595,5.815822227230205e-05,-0.002020786308050887,0.001873714656587061,-1.2184463383749722
voynich,voynich,59,-0.00043799534908864346,-3.305226940021527e-05,-0.0018280492735943538,0.0017669177725410518,-0.43141111092272416
voynich,voynich,60,-0.0005448212149904985,-4.244850830737043e-05,-0.001851008227417239,0.0016721016960090512,-0.5331075639769708
liturgy_sample,liturgical_repetition,1,-0.0437879804389526,-0.0003474256172881231,-0.008913475815438707,0.007202772533306326,-11.270248797059212
liturgy_sample,liturgical_repetition,2,-0.0268690755596164,-0.00021143813889756887,-0.007841591415853173,0.007750374757508352,-6.877543682653712
liturgy_sample,liturgical_repetition,3,-0.012320290212461359,5.2826361686159774e-05,-0.007033480801940578,0.007769585547517513,-3.2948734975613254
liturgy_sample,liturgical_repetition,4,-0.011248739775223213,-0.00039205019299156925,-0.007546994666814931,0.007788806496590653,-2.744318646743715
